Nom de l'offre touristique;Type de restaurant;Catégorie du restaurant;Adresse1;Adresse2;Adresse3;Code postal;Cedex;Bureau distributeur;Commune;Code Insee de la Commune;latitude;longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;widget tripadvisor;Code Embed pour intégrer une video;Classement dans les guides restaurants;Label classement logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Labels;Service(s) proposé(s) sur l'équipement;Nombre max couverts;Nombre salles restaurant;Nombre max couverts en terrasse;Nombre salles de réunion;Nombre salles climatisées;Présence de l'offre sur les grands itinéraires vélo;Langue(s) parlée(s) à l'accueil;Langue(s) parlée(s) à l'accueil;Nombre personnes min pour les groupes;Nombre personnes max pour les groupes;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
O'SAB';Restaurant;Crêperie;;21 promenade Lafargue;;85100;;;LES SABLES-D'OLONNE;85194;46.494821;-1.787411;;;02 51 95 25 28;;contact@osab.fr;http://www.osab.fr;;"Facebook||https://fr-fr.facebook.com/osab85/ ; Instagram||https://www.instagram.com/osab85/";;;;;;oui;;;Service en terrasse;68;;40;;;;"Anglais;Espagnol";"Anglais;Espagnol";;;non;"02/06/2020||31/12/2020|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;"Cartes bancaires;Chèques Vacances;Tickets Restaurant";46.494821,-1.787411;Vendée
O'SPOT;Restaurant;Pizzeria;;203 Route de la Pointe Saint-Gildas;;44770;;;PREFAILLES;44136;47.13557;-2.24354;;;02 51 18 38 53;;herpin.emmanuel@orange.fr;;;;;;;;;oui;;;Traiteur;80;1;70;;;;oui;oui;30;70;;01/01/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Chèques bancaires et postaux";47.13557,-2.24354;Loire-Atlantique
O'TACOS;Restaurant;Restauration rapide;;42 Avenue de la République;;44600;;;SAINT-NAZAIRE;44184;47.278;-2.21224;"Gare SNCF||||1 ; Transport en commun||Ligne Hélyce - Arrêt Rue de la Paix||0,29 ; Transport en commun||Ligne U4 - Arrêt Albert de Mun||0,27";;;;otacos.saintnazaire@resto-tacos.com;https://o-tacos.com/fr/;;"Facebook||https://www.facebook.com/pg/otacossaintnazaire/about/?ref=page_internal ; Instagram||";;;;;;;;;"Plats à emporter;Plats à emporter / Covid-19;Livraison à domicile / Covid-19";;;;;;;oui;oui;;;oui;01/01/2020||31/12/2020||Ouvert du lundi au dimanche||Ouvert 7j/7||11:30||||||23:30||11:30||||||23:30||11:30||||||23:30||11:30||||||23:30||11:30||||||23:30||11:30||||||23:30||11:30||||||23:30;;;;;;47.278,-2.21224;Loire-Atlantique
OLIVIER TRAITEUR;Restaurant;;;52 route de Saint Père en Retz;;44210;;;PORNIC;44131;47.12659;-2.09563;;06 01 08 71 41;06 01 08 71 41;;olivier.traiteurpornic@gmail.com;http://www.traiteur-pornic.fr;;;;;;;;;;;Traiteur;;;;;;;;;;;;01/01/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;47.12659,-2.09563;Loire-Atlantique
PASO DE LADO;Restaurant;Bistrot / bar à vin;;2 rue du 11 novembre 1918;;72370;;;LE BREIL-SUR-MERIZE;72046;48.0078821;0.4768334;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0078821,0.4768334;Sarthe
PATIO'NNEMENT (LE);;Cuisine traditionnelle;;8 rue de l'emery;;44000;;;NANTES;44109;47.2158088;-1.5520352;;;02 51 82 41 16;;;http://www.lepationnement.fr;;;;;Bottin Gourmand;;;;;;;;;;;;;;;;;;;;oui;||http://www.nantes-tourisme.com/book/396232||||||;;;47.2158088,-1.5520352;Loire-Atlantique
PAUL;Restaurant;Restauration rapide;;38 place de la république;;72000;;;LE MANS;72181;48.0044697;0.19604255;;;02 43 25 18 99;;;http://www.paul.fr/fr/nos-boutiques;;;;;;;;non;;;"Climatisation;Plats à emporter;Service en terrasse;WiFi";60;1;60;1;1;;oui;oui;;12;oui;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Tickets Restaurant";48.0044697,0.19604255;Sarthe
PICKLES;Restaurant;;;2 rue du Marais;;44000;;;NANTES;44109;47.2181089;-1.5558886;;;02 51 84 11 89;;;http://www.pickles-restaurant.com;;;;;"Gault Millau;Les Tables de Nantes";;;;;;Plats à emporter / Covid-19;;1;;;0;;"Anglais;Français";"Anglais;Français";;12;;||||||||||||||||12:00||14:00||||||12:00||14:00||20:00||22:00||12:00||14:00||20:00||22:00||12:00||14:00||20:00||22:30||||||20:00||22:30||||||||;;;;"Menu adulte du jour (midi en semaine)||18,00||22,00|| ; Menu adulte soir et week-end||45,00||50,00||";"Cartes bancaires;Espèces;Tickets Restaurant";47.2181089,-1.5558886;Loire-Atlantique
PIZZA SHOW;;;;154, rue Nationale;;49260;;;MONTREUIL-BELLAY;49215;47.13172;-0.15288;;;02 41 67 60 88;;contact@pizzashow49.fr;http://www.pizzashow49.fr/;;;;;;;;;;;;;;;;;;;;;;;01/01/2020||31/12/2020||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;47.13172,-0.15288;Maine-et-Loire
PIZZA-GOGO;;Cuisine du Monde;64 rue Emile Zola;;;72310;;;BESSE-SUR-BRAYE;72035;47.8366909;0.7538359;;;02 43 35 38 81;;;;;;;;;;;;;;;;;;;;;;;;;oui;||||||||12:00||14:00||18:00||21:00||12:00||14:00||18:00||21:00||12:00||14:00||18:00||21:00||12:00||14:00||18:00||21:00||12:00||14:00||18:00||21:00||12:00||14:00||18:00||22:00||12:00||14:00||18:00||22:00;;;;;;47.8366909,0.7538359;Sarthe
PIZZERIA BASILIC & CO;Restaurant;Pizzeria;;156 Avenue Bollée;;72000;;;LE MANS;72181;47.99765;0.214228;;;02 43 18 68 93;;basilicandco.lemans@gmail.com;https://basilic-and-co.com/restaurants/pizzeria-le-mans/;;Facebook||https://www.facebook.com/BasilicandCoLeMans;;;;;;;;;"Plats à emporter / Covid-19;Livraison à domicile / Covid-19";;;;;;;;;;;;;;;;;;47.99765,0.214228;Sarthe
PIZZERIA DONATELLO;Restaurant;Pizzeria;;3 rue du 11 novembre;;44130;;;BLAIN;44015;47.4762106;-1.7624173;"Gare SNCF||Gare de Nantes||38 ; Route (nationale/départ.)||RN 137||13 ; Transport en commun||lignes LILA 11 et 71, arrêt ""Pl Jollan""||0,3 ; Halte fluviale||Port de Blain||1";;02 40 51 37 53;;;;;;;;;;;;;;"Plats à emporter;WiFi";;;0;0;0;;;;;;oui;18/08/2020||31/08/2021||du mardi au dimanche, de 11h45 à 13h45 et de 17h45 à 21h45||Fermé le dimanche midi et le lundi toute la journée||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Tickets Restaurant";47.4762106,-1.7624173;Loire-Atlantique
PIZZERIA L'ARLEQUIN;Restaurant;Pizzeria;;41 rue de la Libération;;44110;;;CHATEAUBRIANT;44036;47.7127305;-1.3794308;;;02 40 81 85 75;;;www.larlequin-pizzeria.com;;;;;;;;oui;;;"Plats à emporter;Service en terrasse";60;;;;;;oui;oui;;30;oui;||||||fermé le mercredi||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 40 81 85 75||;;;Menu adulte du jour (midi en semaine)||10,00||22,00||;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Tickets Restaurant";47.7127305,-1.3794308;Loire-Atlantique
PIZZERIA LA PAUSA;Restaurant;Pizzeria;;9 boulevard René Levasseur;;72000;;;LE MANS;72181;48.0029307;0.19796068;;;02 43 20 30 40;;;http://pausa.fr/;;"Facebook||https://www.facebook.com/LaTagliatella?fref=ts ; Tripadvisor||http://www.tripadvisor.fr/Restaurant_Review-g187195-d3166165-Reviews-La_tagliatella-Le_Mans_Sarthe_Pays_de_la_Loire.html";;;;;;;;;Service en terrasse;;;;;;;;;;;oui;;;;;;;48.0029307,0.19796068;Sarthe
PIZZERIA LA PERPOISE;Restaurant;Pizzeria;;27 rue de la Perpoise;;85520;;;JARD-SUR-MER;85114;46.420368;-1.580278;;;02 51 20 61 70;;pizzerialaperpoise@yahoo.com;http://www.pizzerialaperpoise.fr/;;Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g1236667-d13834374-Reviews-Pizzeria_la_Perpoise-Jard_sur_Mer_Vendee_Pays_de_la_Loire.html;;;;;;oui;;;"Plats à emporter;Service en terrasse;Plats à emporter / Covid-19;Livraison à domicile / Covid-19";38;1;14;;;;oui;oui;;;oui;||||Le mardi de 11h30 à 14h00 et de 19h30 à 22h00 </br>Du mercredi au dimanche de 11h30 à 14h00 et de 18h30 à 22h00.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Menu adulte soir et week-end||13,50||||;"Cartes bancaires;Chèques Vacances;Tickets Restaurant";46.420368,-1.580278;Vendée
PIZZERIA LA TOUR DE PISE;Restaurant;Pizzeria;;10, rue Jules Ferry;;53100;;;MAYENNE;53147;48.3021926;-0.6212753;;;02 43 00 29 01;;la.tour.de.pise@wanadoo.fr;;;Facebook||https://www.facebook.com/tourdepise53;;;;;;;;;Plats à emporter / Covid-19;;;;;;;;;;;oui;;;;;;;48.3021926,-0.6212753;Mayenne
PIZZERIA LAZZARO;Restaurant;Restauration rapide;;25 Rue du Lavoir;;44410;;;LA CHAPELLE-DES-MARAIS;44030;47.44723;-2.24349;;;02 28 54 06 73;;;;;;;;;;;;;;"Plats à emporter;Plats à emporter / Covid-19;Livraison à domicile / Covid-19";;;;;;;;;;;;01/01/2020||31/12/2020||Ouvert du lundi au dimanche||Ouvert 7j/7||11:00||14:00||18:00||22:30||11:00||14:00||18:00||22:30||11:00||14:00||18:00||22:30||11:00||14:00||18:00||22:30||11:00||14:00||18:00||22:30||11:00||14:00||18:00||23:00||11:00||14:00||18:00||23:00;;;;;;47.44723,-2.24349;Loire-Atlantique
PIZZERIA LE LOUVIO;Restaurant;Pizzeria;;2 bis rue de la Mairie;;49430;;;DURTAL;49127;47.6708346;-0.2433603;;;02 41 95 48 84;;;www.lelouvio.com/;;"Tripadvisor|| ; Facebook||https://fr-fr.facebook.com/lelouvio/";;;;;;oui;;;"Plats à emporter;Service en terrasse;Plats à emporter / Covid-19";40;1;10;0;0;;oui;oui;;40;oui;01/01/2020||31/12/2020||ouvert uniquement le vendredi et le samedi soir pour la vente à emporter||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Menu adulte du jour (midi en semaine)||13,50||||;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.6708346,-0.2433603;Maine-et-Loire
PLAN B;;Cuisine traditionnelle;;29 rue Fouré;;44000;;;NANTES;44109;47.2117423;-1.5467001;;;02 85 37 15 02;;;http://www.planbnantes.com;;;;;Les Tables de Nantes;;;;;;;;;;;;;;;;;;;;oui;||http://www.nantes-tourisme.com/book/230693||||||;;;47.2117423,-1.5467001;Loire-Atlantique
POMMIER-LAPRUGNE;;Crêperie;;3 Allée de l'Ile Gloriette;;44000;;;NANTES;44109;47.2112531;-1.5567397;;;02 40 47 78 08;;;;;;;;Champerard;;;;;;;;;;;;;;;;;;;;oui;||http://www.nantes-tourisme.com/book/105803||||||;;;47.2112531,-1.5567397;Loire-Atlantique
POTES & BOC;Restaurant;Cuisine traditionnelle;;4 Place Napoléon;;85000;;;LA ROCHE-SUR-YON;85191;46.6697361;-1.427022;;;0251362838;;;www.potes-and-boc.fr;;"Facebook||https://www.facebook.com/potesandboc/?fref=ts ; Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g196652-d11907011-Reviews-Potes_Boc-La_Roche_sur_Yon_Vendee_Pays_de_la_Loire.html";;;Le petit futé;;;oui;;;"Plats à emporter;Service en terrasse;WiFi";58;2;30;;;;oui;oui;;;oui;||||||||||||||||10:30||22:30||||||10:30||22:30||||||10:30||22:30||||||10:30||22:30||||||10:30||22:30||||||||||||;;;;"Menu adulte du jour (midi en semaine)||11,50||13,90||10.50€ bagels + dessert;10.90€ plat + dessert ou entrée + plat bocal;12.90€ entrée + plat + dessert bocal ; Menu adulte soir et week-end||17,50||||15€ entrée + plat ou plat + dessert;19€ entrée +plat + dessert";"Cartes bancaires;Chèques bancaires et postaux;Tickets Restaurant";46.6697361,-1.427022;Vendée
QUIM'CAFÉ;Restaurant;Restauration rapide;;569  avenue de la Plage;Quimiac;44420;;;MESQUER;44097;47.40633;-2.48164;;06 49 24 99 66;;;;;;;;;;;;;;;;;;;;;;;;;;;"01/07/2020||31/08/2020||||||10:30||||||14:00||10:30||||||14:00||10:30||||||14:00||10:30||||||14:00||10:30||||||14:00||10:30||||||14:00||10:30||||||14:00 ; 01/07/2020||31/08/2020||||||17:00||||||00:00||17:00||||||00:00||17:00||||||00:00||17:00||||||00:00||17:00||||||00:00||17:00||||||00:00||17:00||||||00:00 ; 01/09/2020||30/09/2020||||||18:30||||||||18:30||||||||18:30||||||||18:30||||||||18:30||||||||18:30||||||||18:30||||||";;;;;;47.40633,-2.48164;Loire-Atlantique
RACINE RESTAURANT;Restaurant;;;7 Square du Docteur Pierre Prévost;;85750;;;ANGLES;85004;46.4078832;-1.4035993;;;02 51 27 97 84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46.4078832,-1.4035993;Vendée
RAND ALEP;Restaurant;Cuisine du Monde;;23 Avenue René Coty;;44600;;;SAINT-NAZAIRE;44184;47.27323;-2.2059658;"Bord de mer||Front de mer||0,26 ; Transport en commun||Ligne U2 et S/D - arrêt : Quatzorloges||0,14 ; Gare SNCF||||2";;09 54 59 95 58;;;;;;;;;;;;;;Plats à emporter / Covid-19;;1;;;;;;;;;;01/01/2020||31/12/2020||Ouvert du mardi au dimanche midi||Fermé le lundi et dimanche soir||||||||||11:00||15:00||18:00||21:00||11:00||15:00||18:00||21:00||11:00||15:00||18:00||21:00||11:00||15:00||18:00||21:00||11:00||15:00||18:00||21:00||11:00||13:00||||;;non;||||||09 54 59 95 58||;;;47.27323,-2.2059658;Loire-Atlantique
REFLETS DE LOIRE;Restaurant;Cuisine traditionnelle;;2, Place Charles Sigogne;Saint-Mathurin-sur-Loire;49250;;;LOIRE-AUTHION;49307;47.40957;-0.32197;;;02 41 66 23 89;;carmas@wanadoo.fr;http://www.restaurant-refletsdeloire.fr;;Facebook||https://www.facebook.com/pages/Restaurant-Reflets-De-Loire/135800663168813?fref=ts;;;;;;oui;oui;;"Service en terrasse;WiFi";50;1;60;0;1;;"Anglais;Français";"Anglais;Français";;;oui;"01/10/2019||31/12/2019||||||||||||||12:00||14:30||||||12:00||14:30||||||12:00||14:30||||||12:00||14:30||19:00||21:30||12:00||14:30||19:00||21:30||12:00||14:30|||| ; 02/01/2020||01/06/2020||||||||||||||12:00||14:30||||||12:00||14:30||||||12:00||14:30||||||12:00||14:30||19:00||21:30||12:00||14:30||19:00||21:30||12:00||14:30|||| ; 02/06/2020||30/09/2020||||||||||||||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00";||02 41 66 23 89||;;;"Menu enfant||8,90|||| ; Menu adulte du jour (midi en semaine)||13,90||||";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Tickets Restaurant";47.40957,-0.32197;Maine-et-Loire
RESTAURANT  L'EMBARCADERE;Restaurant;Crêperie;;Sillé-Plage;;72140;;;SILLE-LE-GUILLAUME;72334;48.2123782;-0.1318887;Gare SNCF||Gare de Sillé le Guillaume||4;;02 43 20 11 00;;;;;Facebook||https://www.tripadvisor.fr/Restaurant_Review-g1102842-d8464186-Reviews-L_Embarcadere-Sille_le_Guillaume_Sarthe_Pays_de_la_Loire.html;;;;;;oui;Tenus en laisse;Famille Plus;Service en terrasse;24;1;50;;0;;oui;oui;10;30;non;;GUILLET||02 43 20 11 00||;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Tickets Restaurant";48.2123782,-0.1318887;Sarthe
RESTAURANT  LE DRESSING;Restaurant;;;1 rue Gambetta;;72000;;;LE MANS;72181;48.0046289;0.19483344;;;;;;https://www.facebook.com/bonapetitlemans;;Facebook||https://www.facebook.com/bonapetitlemans/;;;;;;;;;;;;;;;;;;;;;||||||fermé le dimanche||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;48.0046289,0.19483344;Sarthe
RESTAURANT LA CLÉ DES CHAMPS;Restaurant;Cuisine traditionnelle;;7 route de sainte Hermine;;85570;;;POUILLE;85181;46.5072375;-0.9495805;;;02 51 00 15 15;;;;;;;;;;;oui;;;"Banquet;Plats à emporter;Séminaire;Traiteur;Plats à emporter / Covid-19";80;2;25;;;;oui;oui;15;60;non;;La Clé des Champs||02 51 00 15 15||;;;;"Cartes bancaires;Chèques bancaires et postaux;Tickets Restaurant";46.5072375,-0.9495805;Vendée
RESTAURANT - BOWLING LE P'RESTO;Restaurant;Restauration rapide;;Rue Jean-Baptiste Colbert;;85700;;;POUZAUGES;85182;46.7742469;-0.8430613;Puy du Fou||Puy du Fou||18,5;;02 51 91 38 98;;prestobowling@gmail.com;;;"Facebook||https://www.facebook.com/Presto-Pouzauges-145924442434699/?fref=ts ; Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g1020243-d9810977-Reviews-P_resto-Pouzauges_Vendee_Pays_de_la_Loire.html";;;;;;non;;;"Plats à emporter;WiFi;Plats à emporter / Covid-19";30;1;;;;;oui;oui;;30;oui;01/01/2020||31/12/2020||||||||||||||12:00||13:30||||||12:00||13:30||||||12:00||13:30||||||12:00||13:30||||||||||19:00||22:30||||||19:00||21:00;;;;Plats à la carte||3,00||12,00||;"Cartes bancaires;Chèques Vacances;Espèces;Tickets Restaurant";46.7742469,-0.8430613;Vendée
RESTAURANT A LA BONNE PLACE;Restaurant;Cuisine traditionnelle;;3, place de l'Eglise;;53220;;;MONTAUDIN;53154;48.3858724;-0.9888429;Route (nationale/départ.)||D31||0;;02 43 05 33 14;;;;;;;;;;;oui;;;"Banquet;Plats à emporter;Séminaire;Service en terrasse;Traiteur;Plats à emporter / Covid-19";75;2;20;1;0;;oui;oui;15;45;oui;16/06/2020||31/12/2020||Ouvert le midi du mardi au vendredi. Uniquement sur réservation, pour les groupes, le vendredi soir et les week-end. ||||||||||||12:00||||||15:00||12:00||||||15:00||12:00||||||15:00||12:00||||||15:00||||||||||||||||;;;;Menu adulte du jour (midi en semaine)||13,00||15,50||;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Tickets Restaurant";48.3858724,-0.9888429;Mayenne
